id,domain,file,line_hint,category,severity,status,owner,action,target_wave,notes
ai-paths-api-client-namespace-comment,AI Paths,src/shared/lib/ai-paths/api/client.ts,283,naming_channel,low,completed_2026-03-05,ai-paths,"Removed compatibility-layer wording from grouped namespace section",Wave D,No behavior difference
products-metadata-hook-compat-wrapper,Products,src/features/products/hooks/useMetadata.ts,1,compatibility_adapter,medium,completed_2026-03-05,products,"Removed wrapper file; canonical hooks consumed directly",Wave D,Wrapper removed
products-catalog-hook-compat-wrapper,Products,src/features/products/hooks/useCatalogQueries.ts,1,compatibility_adapter,medium,completed_2026-03-05,products,"Removed wrapper file; canonical hooks consumed directly",Wave D,Wrapper removed
integrations-cache-hook-compat-wrapper,Integrations,src/features/integrations/hooks/integrationCache.ts,1,compatibility_adapter,medium,completed_2026-03-05,integrations,"Rewired callsites to shared query invalidation/query keys and removed wrapper",Wave D,Wrapper removed
integrations-listing-cache-hook-compat-wrapper,Integrations,src/features/integrations/hooks/listingCache.ts,1,compatibility_adapter,medium,completed_2026-03-05,integrations,"Rewired callsites to canonical query keys/invalidation and removed wrapper",Wave D,Wrapper removed
case-resolver-legacy-status-mapper-name,Case Resolver,src/features/case-resolver/hooks/useCaseResolverState.requested-context.ts,47,naming_channel,low,completed_2026-03-05,case-resolver,"Renamed legacy-status mapper to canonical naming; behavior unchanged",Wave D,Semantic behavior unchanged
products-ai-worker-model-fallback,Products,src/features/products/workers/product-ai-processors.ts,174,compatibility_behavior,high,completed_2026-03-05,products,"Removed AI Paths model fallback branch; Brain config errors now fail fast and no fallback metadata is emitted",Wave D,Potentially user-visible behavior change accepted by hard-cut decision
filemaker-normalizer-compat-options,Filemaker,src/features/filemaker/filemaker-settings.database.ts,206,compatibility_behavior,high,completed_2026-03-05,filemaker,"Removed runtime normalize options; strict unsupported-inline-field rejection is always enforced; persistence stripping isolated to serializer",Wave D,Runtime API contract simplified to canonical-only
ai-paths-node-identity-legacy-seed-keys,AI Paths,src/shared/lib/ai-paths/core/utils/node-identity.ts,87,false_positive,low,accepted,ai-paths,"Retain seed key names for deterministic id continuity",Wave B,"Legacy wording in seed keys only, not runtime payload acceptance"
ai-paths-factory-legacy-seed-key,AI Paths,src/shared/lib/ai-paths/core/utils/factory.ts,55,false_positive,low,accepted,ai-paths,"Retain stable seed key name for deterministic id continuity",Wave B,Not a compatibility adapter
migrate-helper-base-token-storage,Integrations,src/features/integrations/services/base-token-storage-migration.ts,n/a,migration_helper_runtime_leak,high,completed_2026-03-05,platform,"Moved to scripts/db/lib/integrations/base-token-storage-migration.ts and rewired imports",Wave D,Runtime copy removed
migrate-helper-base-token-encryption,Integrations,src/features/integrations/services/base-token-encryption-migration.ts,n/a,migration_helper_runtime_leak,high,completed_2026-03-05,platform,"Moved to scripts/db/lib/integrations/base-token-encryption-migration.ts and rewired imports",Wave D,Runtime copy removed
migrate-helper-tradera-credential,Integrations,src/features/integrations/services/tradera-api-credential-storage-migration.ts,n/a,migration_helper_runtime_leak,high,completed_2026-03-05,platform,"Moved to scripts/db/lib/integrations/tradera-api-credential-storage-migration.ts and rewired imports",Wave D,Runtime copy removed
migrate-helper-tradera-user-id,Integrations,src/features/integrations/services/tradera-api-user-id-storage-migration.ts,n/a,migration_helper_runtime_leak,high,completed_2026-03-05,platform,"Moved to scripts/db/lib/integrations/tradera-api-user-id-storage-migration.ts and rewired imports",Wave D,Runtime copy removed
migrate-helper-base-import-run-connection,Integrations,src/features/integrations/services/imports/base-import-run-connection-migration.ts,n/a,migration_helper_runtime_leak,high,completed_2026-03-05,platform,"Moved to scripts/db/lib/integrations/base-import-run-connection-migration.ts and rewired imports",Wave D,Runtime copy removed
products-migrate-runtime-endpoint,Products,src/app/api/v2/products/migrate/handler.ts,1,breakglass_surface,medium,completed_2026-03-05,products,"Removed /api/v2/products/migrate runtime endpoint and API test; migration execution is script/runbook-only",Wave E,Operational breakglass surface removed from runtime
